,URL
392,https://www.forbes.com/profile/john-overdeck/?list=billionaires
393,https://www.forbes.com/profile/melanie-perkins/?list=billionaires
394,https://www.forbes.com/profile/ruan-hongliang/?list=billionaires
395,https://www.forbes.com/profile/david-siegel-1/?list=billionaires
396,https://www.forbes.com/profile/david-velez/?list=billionaires
397,https://www.forbes.com/profile/juergen-blickle/?list=billionaires
398,https://www.forbes.com/profile/cheng-xue/?list=billionaires
399,https://www.forbes.com/profile/jack-dangermond/?list=billionaires
400,https://www.forbes.com/profile/jiang-weiping/?list=billionaires
401,https://www.forbes.com/profile/takahisa-takahara/?list=billionaires
402,https://www.forbes.com/profile/orlando-bravo/?list=billionaires
403,https://www.forbes.com/profile/hong-ra-hee/?list=billionaires
404,https://www.forbes.com/profile/edward-johnson-iv/?list=billionaires
405,https://www.forbes.com/profile/li-xiaohua/?list=billionaires
406,https://www.forbes.com/profile/sri-prakash-lohia/?list=billionaires
407,https://www.forbes.com/profile/miao-hangen/?list=billionaires
408,https://www.forbes.com/profile/bobby-murphy/?list=billionaires
409,https://www.forbes.com/profile/wu-jianshu/?list=billionaires
410,https://www.forbes.com/profile/maria-asuncion-aramburuzabala/?list=billionaires
411,https://www.forbes.com/profile/melinda-french-gates/?list=billionaires
412,https://www.forbes.com/profile/bruce-kovner/?list=billionaires
413,https://www.forbes.com/profile/pham-nhat-vuong/?list=billionaires
414,https://www.forbes.com/profile/michal-solowow/?list=billionaires
415,https://www.forbes.com/profile/leonard-stern/?list=billionaires
416,https://www.forbes.com/profile/stef-wertheimer/?list=billionaires
417,https://www.forbes.com/profile/rocco-commisso/?list=billionaires
418,https://www.forbes.com/profile/jack-dorsey/?list=billionaires
419,https://www.forbes.com/profile/lin-li/?list=billionaires
420,https://www.forbes.com/profile/george-lucas/?list=billionaires
421,https://www.forbes.com/profile/evan-spiegel/?list=billionaires
422,https://www.forbes.com/profile/zhao-yan/?list=billionaires
423,https://www.forbes.com/profile/tom-gores/?list=billionaires
424,https://www.forbes.com/profile/leo-koguan/?list=billionaires
425,https://www.forbes.com/profile/alexei-kuzmichev/?list=billionaires
426,https://www.forbes.com/profile/fredrik-lundberg/?list=billionaires
427,https://www.forbes.com/profile/john-morris/?list=billionaires
428,https://www.forbes.com/profile/ivar-tollefsen/?list=billionaires
429,https://www.forbes.com/profile/john-alan-bruce-wilson/?list=billionaires
430,https://www.forbes.com/profile/stephen-bisciotti/?list=billionaires
431,https://www.forbes.com/profile/mahendra-choksi/?list=billionaires
432,https://www.forbes.com/profile/jian-jun/?list=billionaires
433,https://www.forbes.com/profile/barry-lam/?list=billionaires
434,https://www.forbes.com/profile/michael-moritz/?list=billionaires
435,https://www.forbes.com/profile/teh-hong-piow/?list=billionaires
436,https://www.forbes.com/profile/gary-wang-1/?list=billionaires
437,https://www.forbes.com/profile/andre-esteves/?list=billionaires
438,https://www.forbes.com/profile/joshua-harris/?list=billionaires
439,https://www.forbes.com/profile/rakesh-jhunjhunwala/?list=billionaires
440,https://www.forbes.com/profile/ken-langone/?list=billionaires
441,https://www.forbes.com/profile/ludwig-merckle/?list=billionaires
442,https://www.forbes.com/profile/sandra-ortega-mera/?list=billionaires
443,https://www.forbes.com/profile/terrence-pegula/?list=billionaires
